,news,label
0,"NEW DELHI: Shops selling educational books and electric fans, services of bedside attendants of senior citizens and public utilities, including recharge facilities for prepaid mobile phones have been allowed during the lockdown period. The orders were issued by the home ministry on Tuesday night after receiving some queries with regard to exemptions of specific services and activities allowed through the guidelines issued so far. Blog: Level the field - News producers can’t keep incurring the costs while digital platforms drain away profitsThe home ministry also said bread factories and flour mills located in urban areas can restart operations during the ongoing lockdown to combat the novel coronavirus outbreak. Read our coronavirus live blog for all the latest news and updatesShops selling educational books for students and electric fans will be allowed to open during the lockdown, which is scheduled to end on May 3. Bedside attendants and care givers of senior citizens residing in their homes and public utilities, including recharge facilities for prepaid mobile connection will be allowed to offer services, the ministry said in its order. Food processing units such as bread factories, milk processing plants, flour mills, dal mills etc., located in urban areas will be allowed to function during the lockdown. Facilities for export or import such as pack houses, inspection and treatment facilities for seeds and horticulture produce, research establishments dealing with the agriculture and horticulture activities have been exempted from the purview of the lockdown. Inter and intra-state movement of planting materials and honey bee colonies, honey and other beehive products will also be allowed to function, the order said. Forest offices, forestry plantation and related activities, including silviculture operations, are allowed during the lockdown. More on Covid-19  Coronavirus pandemic: Complete Coverage 21-day lockdown: What will stay open and what won't How to quarantine yourself at home Trust the newspaper for your daily verified news However, the ministry made it clear that social distancing for offices, workshops, factories and establishments must be ensured. The home ministry also allowed sign-on and sign-off of Indian seafarers at Indian ports and their movement for the aforesaid purpose as per a standard operating protocol (SOP). It said that change of crew of a ship (seafarers) is an important measure for operation of merchant ships. The SOP has been formulated to streamline the sign-on and sign-off of Indian seafarers at Indian ports for merchant shipping vessels, the ministry added. For sign-on, the ship owner or recruitment and placement service (RPS) agency will identify the Indian seafarers for joining a vessel. The seafarers will intimate their travel and contact history for the last 28 days to the ship owner or RPS agency by email, as per procedure laid down by Director General of Shipping (DGS). The seafarer would be examined by a DGS-approved medical examiner, as per the guidelines prescribed for this purpose. At the same time, the seafarer shall also be screened, and his travel and contact history examined for the last 28 days; seafarers found to be asymptomatic for Covid-19 and otherwise suitable may be processed for sign-on. The local authority in the area where the seafarer resides will be intimated about his clearance for sign-on and for issue of a transit pass from the place of residence to the place of embarkation on the shipping vessel. The transit pass for such movement by road, for the seafarer and one driver, may be issued by the government of the State or Union Territory where the seafarer resides. For sign-off, the master of a vessel, coming from any foreign port, or a coastal vessel from any Indian port, while arriving at its port of call in India, shall ascertain the state of health of each person on board the vessel and submit a Maritime Declaration of Health to the health authorities of the port and to the port authorities. In addition, the information required by the local health authorities of the port, like temperature chart, individual health declaration, etc. shall also be provided by the master as per the directives of the health authorities of the port. Port health authorities shall grant pratique to the vessel prior to berthing as per necessary health protocols. The Indian seafarer arriving on the vessel would undergo the COVID-19 test for confirmation that he or she is negative for the infection. After disembarking and till the time the seafarer reaches the testing facility within the port premises, it will be ensured by the ship owner that all safety precautions as per standard health protocol are observed. Till the time test reports of the seafarer are received, they shall be kept in the quarantine facility by the port or the state health authorities. If the seafarer is tested as positive for Covid-19, he or she will be dealt with as per the procedures laid down by health ministry. For the seafarer tested negative and signed off, the local authority in the area where the seafarer disembarks will be intimated about his or her clearance for sign-off, and for issue of a transit pass from the place of disembarkation to the place of his or her residence. The social distancing and other hygiene norms, as per standard health protocol, would be followed by the vehicle transporting the seafarer to his destination. The lockdown was first announced by Prime Minister Narendra Modi on March 24 in a bid to combat the coronavirus pandemic. It was later extended till May 3. DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
1,"NEW DELHI: Shops selling educational books and electric fans, services of bedside attendants of senior citizens and public utilities, including recharge facilities for prepaid mobile phones have been allowed during the lockdown period. The orders were issued by the home ministry on Tuesday night after receiving some queries with regard to exemptions of specific services and activities allowed through the guidelines issued so far. Blog: Level the field - News producers can’t keep incurring the costs while digital platforms drain away profitsThe home ministry also said bread factories and flour mills located in urban areas can restart operations during the ongoing lockdown to combat the novel coronavirus outbreak. Read our coronavirus live blog for all the latest news and updatesShops selling educational books for students and electric fans will be allowed to open during the lockdown, which is scheduled to end on May 3. Bedside attendants and care givers of senior citizens residing in their homes and public utilities, including recharge facilities for prepaid mobile connection will be allowed to offer services, the ministry said in its order. Food processing units such as bread factories, milk processing plants, flour mills, dal mills etc., located in urban areas will be allowed to function during the lockdown. Facilities for export or import such as pack houses, inspection and treatment facilities for seeds and horticulture produce, research establishments dealing with the agriculture and horticulture activities have been exempted from the purview of the lockdown. Inter and intra-state movement of planting materials and honey bee colonies, honey and other beehive products will also be allowed to function, the order said. Forest offices, forestry plantation and related activities, including silviculture operations, are allowed during the lockdown. More on Covid-19  Coronavirus pandemic: Complete Coverage 21-day lockdown: What will stay open and what won't How to quarantine yourself at home Trust the newspaper for your daily verified news However, the ministry made it clear that social distancing for offices, workshops, factories and establishments must be ensured. The home ministry also allowed sign-on and sign-off of Indian seafarers at Indian ports and their movement for the aforesaid purpose as per a standard operating protocol (SOP). It said that change of crew of a ship (seafarers) is an important measure for operation of merchant ships. The SOP has been formulated to streamline the sign-on and sign-off of Indian seafarers at Indian ports for merchant shipping vessels, the ministry added. For sign-on, the ship owner or recruitment and placement service (RPS) agency will identify the Indian seafarers for joining a vessel. The seafarers will intimate their travel and contact history for the last 28 days to the ship owner or RPS agency by email, as per procedure laid down by Director General of Shipping (DGS). The seafarer would be examined by a DGS-approved medical examiner, as per the guidelines prescribed for this purpose. At the same time, the seafarer shall also be screened, and his travel and contact history examined for the last 28 days; seafarers found to be asymptomatic for Covid-19 and otherwise suitable may be processed for sign-on. The local authority in the area where the seafarer resides will be intimated about his clearance for sign-on and for issue of a transit pass from the place of residence to the place of embarkation on the shipping vessel. The transit pass for such movement by road, for the seafarer and one driver, may be issued by the government of the State or Union Territory where the seafarer resides. For sign-off, the master of a vessel, coming from any foreign port, or a coastal vessel from any Indian port, while arriving at its port of call in India, shall ascertain the state of health of each person on board the vessel and submit a Maritime Declaration of Health to the health authorities of the port and to the port authorities. In addition, the information required by the local health authorities of the port, like temperature chart, individual health declaration, etc. shall also be provided by the master as per the directives of the health authorities of the port. Port health authorities shall grant pratique to the vessel prior to berthing as per necessary health protocols. The Indian seafarer arriving on the vessel would undergo the COVID-19 test for confirmation that he or she is negative for the infection. After disembarking and till the time the seafarer reaches the testing facility within the port premises, it will be ensured by the ship owner that all safety precautions as per standard health protocol are observed. Till the time test reports of the seafarer are received, they shall be kept in the quarantine facility by the port or the state health authorities. If the seafarer is tested as positive for Covid-19, he or she will be dealt with as per the procedures laid down by health ministry. For the seafarer tested negative and signed off, the local authority in the area where the seafarer disembarks will be intimated about his or her clearance for sign-off, and for issue of a transit pass from the place of disembarkation to the place of his or her residence. The social distancing and other hygiene norms, as per standard health protocol, would be followed by the vehicle transporting the seafarer to his destination. The lockdown was first announced by Prime Minister Narendra Modi on March 24 in a bid to combat the coronavirus pandemic. It was later extended till May 3. DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
2,"UNITED NATIONS: India has co-sponsored a UN General Assembly resolution that called for a fair, transparent and equitable access to essential medical supplies and any future vaccines developed to fight Covid-19 that has claimed over 177,000 lives and infected more than 2.5 million people. The 193-Member General Assembly adopted the Mexico-drafted resolution 'International cooperation to ensure global access to medicines, vaccines and medical equipment to face Covid-19' by consensus on Monday. Pakistan was among the small minority of nations that did not sponsor the resolution. India was among the 179 nations co-sponsoring the resolution that called for ensuring ""fair, transparent, equitable, efficient and timely access to and distribution of preventive tools, laboratory testing, reagents and supporting materials, essential medical supplies, new diagnostics, drugs and future Covid-19 vaccines"" to all nations, particular developing countries. ""India has proactively engaged in supporting global availability of medicines and drugs by means of international cooperation and development partnerships. Also, we are facilitating the sourcing of global supplies of multilateral agencies such as UNICEF in the face of Covid-19. We were therefore glad to co-sponsor this important initiative,"" India's Permanent Representative to the UN Ambassador Syed Akbaruddin told PTI. India has been at the forefront of sending essential medical supplies and medicines such as anti-malarial drug hydroxychloroquine to several nations, with UN Secretary General Antonio Guterres saying he ""salutes"" nations like India that are helping other countries in their fight against the devastating pandemic. A number of countries, including the US, Mauritius and Seychelles have already received the drug. In its neighborhood, India is sending the drug to Afghanistan, Bhutan, Bangladesh, Nepal, The Maldives, Mauritius, Sri Lanka and Myanmar. Pakistan said it has some reservations on the resolution drafted by Mexico. ""We regret that the draft resolution could not include reference to ensure access to information, preventive and other health care for all persons arbitrarily deprived of their liberty especially those in regions under foreign occupation,"" Pakistan said in its explanation of vote sent to the President of the General Assembly Tijjani Muhammad-Bande. The resolution, which received US support, was the second document to be adopted by the General Assembly on the Covid-19 pandemic. Earlier this month, the General Assembly unanimously adopted a resolution, co-sponsored by 188 nations including India, calling for intensified international cooperation to defeat the pandemic that is causing ""severe disruption to societies and economies"". The latest resolution also acknowledged the ""crucial leading role"" played by the World Health Organization, which has come under constant attack by the Trump administration over its handling of the outbreak. It recognised the importance of international cooperation and effective multilateralism in helping to ensure that all States have in place effective national protective measures, access to and flow of vital medical supplies, medicines and vaccines in order to minimise negative effects in all affected states and to avoid relapses of the pandemic. It encouraged Member States to work in partnership with all relevant stakeholders to increase research and development funding for vaccines and medicines, leverage digital technologies, and strengthen scientific international cooperation necessary to combat COVID-19 and to bolster coordination, including with the private sector, towards rapid development, manufacturing and distribution of diagnostics, antiviral medicines, personal protective equipment and vaccines, adhering to the objectives of efficacy, safety, equity, accessibility, and affordability. It calls on member states and other relevant stakeholders to immediately take steps to prevent, within their respective legal frameworks, speculation and ""undue stockpiling"" that may hinder access to safe, effective and affordable essential medicines, vaccines, personal protective equipment and medical equipment required to effectively address Covid-19. The resolution requested the Secretary-General, in close collaboration with the World Health Organization, to take the necessary steps to effectively coordinate efforts of the United Nations system to promote and ensure global access to medicines, vaccines and medical equipment needed to face Covid-19. According to estimates by Johns Hopkins University, there are more than 2.5 million confirmed coronavirus cases in the world and over 177,000 people have died from the virus. The US is the most hit by the pandemic, with more than 824,000 people infected and over 45,000 deaths. DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
3,"NEW DELHI: In the wake of a large number of media persons contracting COVID-19, the Ministry of Information and Broadcasting issued an advisory to print and electronic media on Wednesday, calling on journalists covering coronavirus-related incidents to take precautions. The advisory also asked the management of media houses to take necessary care of their field as well as office staff. ""It has come to the notice of the Ministry that a large number of media persons have recently contracted Covid-19 while covering the happenings in certain parts of the country,"" it said. In view of the fact that media persons, including reporters, cameramen, photographers, etc are covering incidents relating to Covid-19 in various parts of the country involving travel, amongst others, to containment zones, hotspots and other Covid-affected areas, it is advised that all such media persons may take due health and related precautions while performing their duties, the advisory said. ""Management of media houses is requested to take necessary care of their field staff as well as office staff,"" it said. The advisory comes a day after the governments of Uttar Pradesh, Karnataka and Delhi decided to arrange COVID-19 tests for media persons. Some journalists from a Tamil news TV channel in Chennai tested positive for the infection in a fresh incident involving scribes. Also, during a special camp organised at the Azad Maidan in Mumbai on April 16 and 17 for COVID-19 testing of scribes, the Brihanmumbai Municipal Corporation (BMC) collected swab samples of 171 media persons, including electronic and print media journalists, photographers and cameramen. Out of the 171 media persons, 53 have tested positive for coronavirus. Information and broadcasting minister Prakash Javdekar had expressed shock on Monday over the Mumbai incident involving media persons, and said an advisory is being issued to all newspaper and media establishments to ensure that adequate precautions are taken. DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
4,"AMARAVATI: Coronavirus cases crossed the 800 milestone in Andhra Pradesh, reaching 813 as 56 new cases were added in the state in the last 24 hours ending Wednesday morning. The coronavirus toll also rose to 24 while as many patients had recovered and been discharged from hospitals in the last 24 hours, a latest Covid-19 bulletin said. It said 5,757 samples were tested during the period, of which 5,701 turned negative. Kurnool and Guntur districts continued to maintain a worrisome trend as they added 19 new cases each, aggregating 203 and 177 respectively, the top two in the state. Though the bulletin did not give any details about the new patients, sources in the Covid-19 Command Control Centre here said they were the secondary contacts of the Tablighi Jamaat attendees. Guntur district also reported two more deaths in the last 24 hours, taking its tally to eight, the highest in the state. At the same time, eight coronavirus patients got cured and discharged from hospital in Guntur, five in Anantapuramu, four each in SPS Nellore and Kadapa, two in Krishna and one in Visakhapatnam. The total number of patients discharged in the state now increased to 120. AP now has 669 active coronavirus cases. DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
5,"NEW DELHI: Avinash and Kirti had an online wedding on April 14 which was virtually attended by 80 of their close friends and relatives. They also held an online mehendi, and a sangeet ceremony apart from the marriage which was performed according to the Hindu custom wherein a 'pandit' (priest) was chanting Hindu matras while being connected on a video call. The lockdown has bounded many couples postpone their weddings planned in March and April. But those who hold their fixed wedding date close to their heart and want to get married on the same date amid this nation shutdown are not hesitant to try the idea of 'virtual wedding'. Coronavirus lockdown: Latest updates""We had a grand wedding planned in Satna, Madhya Pradesh, with over 8000 expected guests. But things got changed a bit. We did not want our wedding to go beyond April. So we thought of an online wedding. We had a proper Hindu marriage but online. And we are happy about it,"" said Avinash. Mumbai-based Sushen and Kirti from Bareily also had an arranged marriage online on April 19. Sushen said: ""Even if the lockdown gets lifted in the next few days, I doubt we will be allowed to organise a social gathering like a marriage anytime soon. We did not want to wait for our wedding. And being responsible citizens, we felt this was one way to maintain social distance and at the same time making sure that we had all the fun like a typical wedding. So it was like an entire party we had online. It was a really cool idea and being a part of it is much more exciting for us."" Their weddings were facilitated by Shaadi.com who has introduced 'Wedding from Home' service to help couple tie the knot by making arrangements for all the online ceremonies even during the time of coronavirus when social distancing is the need of the hour. Adhish Zaveri, Director - Marketing, Shaadi.com, said: ""There is no greater act than getting two people married. We realized that there are a lot of people who have planned their wedding during this period and the fact that we won't be able to do it was very disheartening for them. We decided that even if you can't be there in person, you can tie the knot virtually. That is something we can taken very seriously and try to make it as close to a real wedding."" More on Covid-19  Coronavirus pandemic: Complete Coverage  21-day lockdown: What will stay open and what won't  How to quarantine yourself at home  Trust the newspaper for your daily verified news It starts with sending out e-invites for guests, followed by mehendi ceremony where we have a mehendi artiste takes online tutorial. We have make-up artiste who teaches the bride how you can get the bridal look at the comfort of your house. Overall grooming tips are taught virtually. Finally, we have a 'panditji' who does all perform all the wedding rituals. Twelve Muslim couples in Madhya Pradesh also entered into wedlock on April 17, despite the lockdown, through video conference. Reformist Muslims have been organizing mass marriages at Guna every April for some years now. Just as the coronavirus crisis seemed to disrupt this year's schedule, the Sheher Qazi of Guna offered to conduct the 'nikah' online. All the 12 grooms and brides offered their consent to the marriage on a video call. In less than an hour, they were married without stepping out of their homes. DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
6,"KOLKATA: Describing the Covid-19 pandemic as the biggest threat in the history of human civilisation, West Bengal Chief Minister Mamata Banerjee on Wednesday cautioned the people that the bigger threat of climate change is looming large. On Earth Day, Banerjee urged the people to come together and fight the challenges of climate change to protect the planet. Today is #EarthDay. Our planet is going through one of the biggest crisis in human history - the #CoronaPandemic. But a bigger threat is staring at us - climate change. We must all act together to fight these challenges and preserve our beautiful planet, she tweeted. Today is #EarthDay. Our planet is going through one of the biggest crises in human history - the #CoronaPandemic. B… https://t.co/kGcs3FXkQ4— Mamata Banerjee (@MamataOfficial) 1587526645000To demonstrate support for environmental protection, Earth Day is celebrated annually around the globe on April 22. DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
7,"NEW DELHI: Controversial given the high risk of deaths, a coronavirus strategy discarded by the UK is being touted as the solution for young countries like India. The herd immunity strategy, which would allow a majority of the population to gain resistance to the virus by becoming infected and then recovering, could result in less economic devastation and human suffering than restrictive lockdowns designed to stop the virus's spread, a number of experts have begun to argue in the nation of 1.3 billion people.  ""No country can afford a prolonged period of lockdowns, and least of all a country like India,"" said Jayaprakash Muliyil, a prominent Indian epidemiologist. ""You may be able to reach a point of herd immunity without infection really catching up with the elderly. And when the herd immunity reaches a sufficient number the outbreak will stop, and the elderly are also safe."" A team of researchers at Princeton University and the Center for Disease Dynamics, Economics and Policy, a public health advocacy group based in New Delhi and Washington, has identified India as a place where this strategy could be successful because its disproportionately young population would face less risk of hospitalization and death. They said allowing the virus to be unleashed in a controlled way for the next seven months would give 60% of the country's people immunity by November, and thus halt the disease. Mortality could be limited as the virus spreads compared to European nations like Italy given that 93.5% of the Indian population is younger than 65, they said, though no death toll projections were released. The radical proposal underscores the challenges that poorer developing countries — including nations like Indonesia and some in sub-Saharan Africa — face in curbing the epidemic using the lockdown measures that have been adopted by advanced economies. The impossibility of social distancing in crowded living conditions like in many cities and villages in India, the lack of testing kits to detect infections and the human suffering that occurs in lockdowns suggests a different path may be needed in these places. To do this, the Princeton and CDDEP team recommends lifting India's strict lockdown — which has been extended to May 3 — and letting most of the population younger than 60 return to normal life, though social distancing still would be encouraged, masks would be required and large gatherings would be banned. The reopening would be accompanied by an effort to test as many people as possible and isolate confirmed and suspected cases. The government of Prime Minister Narendra Modi has given no indication it plans to adopt such a strategy. Yet the government has laid out criteria that effectively rations coronavirus tests, limiting them to the very sick or most at risk. Critics who suspect the disease has spread much more widely than the official numbers suggest say the government's restrictive criteria amounts to allowing the disease to spread. ""In some sense, you are saying, we will let them get infected and recover, and take care only of those who are sick,"" said T Sundararaman, the New Delhi-based global coordinator of the People's Health Movement, a public health group. ""That's the policy, that's what it amounts to."" The government has maintained its testing criteria gives an accurate tally of India's number of cases, and says the disease is not spreading untracked in the community. Nevertheless, as India has ramped up testing, it is finding more cases each day, bringing the nationwide tally to 19,984, with 640 deaths, as of April 22. But if questions remain as to the extent and severity of India's outbreak, the costs of the government's lockdown are clear. Local governments have had to set up camps to house 1.25 million migrants who left cities when they lost work, while food camps feed 7.5 million daily wage earners also rendered destitute by the lockdown. There are already signs these stopgap measures are starting to fray. ""We're dealing with a trade-off against starvation, hunger, all this other stuff,"" said Ramanan Laxminarayan, the director of the CDDEP and a Princeton researcher. By allowing the coronavirus to spread in a controlled way, ""undoubtedly there will be deaths, but it will be much smaller this way, and it opens us up for business by November,"" he said. But the strategy has already proved controversial internationally. The UK adopted and then abandoned it early in the pandemic after projections showed its health care system would be overwhelmed by the resulting hospitalizations. That brief dalliance is still being blamed for the British government's slow response in testing for the virus. Risky strategyEven in a country like India with a young population, the concept has inherent risks. Allowing people to become infected will inevitably bring many more patients to hospitals. The researchers say India will have to urgently expand critical care and isolation-bed capacity to ensure that multiple waves of patients don't become casualties before herd immunity is reached. Another risk is that India's worst-in the-world air pollution and high rates of hypertension and diabetes have compromised young people's health, meaning that mortality from the virus could be higher than expected. People may let their guards down and fail to follow social distancing guidelines. ""I would worry that it would relax concerns of younger individuals, who still remain at substantial risk themselves,"" Jason Andrews, an assistant professor of medicine at Stanford University, said in an email. ""The messaging in particular may lead younger people to perceive themselves as at lower risk than they are, and to fail to understand their potential role in transmission."" And given the novel coronavirus only made its debut in humans some time late last year, there's still a lot that's unknown. Immunity from the virus may be a more complex process than expected. One group of researchers estimated as much as 82% of the population would have to be infected before herd immunity is reached. ""My view is there are a number of questions about whether it can work,"" said Marc Lipsitch, a professor of epidemiology at Harvard University's TH Chan School of Public Health. ""The main questions being how much immunity do we need in the population, and how much immunity does each person get as a result of infection."" Then there's also the question of whether it's possible to wall off the higher-risk portion of the population in densely packed India, where multiple generations commonly live under one roof. Ultimately, the researchers lobbying for the strategy argue that cultivating herd immunity may be the best of various bad options. ""I think eventually all countries will follow this Indian model,"" Laxminarayan said. ""Because otherwise we are going to be in lockdown on and off all the way through until June of next year."" DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
8,"NEW DELHI: With 1383 new cases and 50 fatalities in 24 hours, the total tally of novel coronavirus cases in India reached to 19,984 on Wednesday, health ministry said. In a morning update, the Ministry of Health and Family Welfare said, of the total cases at least 15474 are active cases of novel coronavirus, while 640 people have lost their lives. Coronavirus lockdown: Latest updatesThe Ministry also said, ""there are at least 77 foreign nationals affected from the disease."" ""At least 617 have been cured and discharged from the hospital in the last 24 hours taking the number of recovered people to 3869,"" said the ministry. The total number of cases in Maharashtra crossed five thousand mark and surged to 5218 with 251 casualties according to the Health Ministry data. More on Covid-19  Coronavirus pandemic: Complete Coverage  21-day lockdown: What will stay open and what won't  How to quarantine yourself at home  Trust the newspaper for your daily verified news Maharashtra is followed by Gujarat with 2178 cases and 90 deaths. The national capital reported a total of 2156 cases and 47 deaths so far. Rajasthan has reported 1659 cases and 25 casualties, followed by Tamil Nadu (1596 cases and 18 deaths) and Madhya Pradesh (1552 cases and 76 deaths.) DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
9,"SRINAGAR: Two terrorists were killed in an encounter with security forces in Jammu and Kashmir's Shopian district on Wednesday, police said. Security forces launched a cordon and search operation in the Melhora area of Shopian Tuesday night following information about the presence of militants there, a police official said. He said the hiding militants opened fire at the security forces, who retaliated, triggering a gun battle. Two militants have been killed so far in the operation, which was going on till the last reports were received, the official said. The identity of the slain terrorists is being ascertained, he added. DownloadThe Times of India News App for Latest India NewsSubscribeStart Your Daily Mornings with Times of India Newspaper! Order Now",True
